"effect","low","high","age","group","OR","low_OR","high_OR","Race"
0,0,0,17,"bottom_10",1,1,1,"Black"
-9.65331804659404e-05,-0.0158081144201372,0.0156150480592054,18,"bottom_10",0.999903471478712,0.984316178015733,1.01573759997593,"Black"
0.000491397010010167,-0.0299470275504604,0.0309298215704807,19,"bottom_10",1.0004915177653,0.970496941787163,1.03141311839377,"Black"
0.00176379057142832,-0.0424210909161566,0.0459486720590133,20,"bottom_10",1.00176534696493,0.958466094218402,1.04702066816263,"Black"
0.00372064750378853,-0.0532352561572729,0.0606765511648499,21,"bottom_10",1.00372757770499,0.948156926487133,1.06255517636531,"Black"
0.00636196780709078,-0.0623951791705282,0.0751191147847097,22,"bottom_10",1.00638224810901,0.939511538030973,1.0780125504702,"Black"
0.00968775148133508,-0.0699073459881773,0.0892828489508474,23,"bottom_10",1.0097348296501,0.932480213936276,1.09338987677244,"Black"
0.0136979985265214,-0.0757792256633907,0.103175222716434,24,"bottom_10",1.01379224595035,0.927020846381323,1.10868565896985,"Black"
0.0183927089426498,-0.0800194568687863,0.116804874754086,25,"bottom_10",1.01856289661668,0.92309838560774,1.12390010700877,"Black"
0.0237718827297203,-0.0826380767774633,0.130181842236904,26,"bottom_10",1.02405668622805,0.920684303958135,1.13903548925503,"Black"
0.0298355198877328,-0.0836468032138856,0.143317842989351,27,"bottom_10",1.03028505861413,0.919756053615174,1.15409656487855,"Black"
0.0365836204166873,-0.0830593842011942,0.156226625034569,28,"bottom_10",1.03726103659149,0.920296494525198,1.16909111838563,"Black"
0.0440161843165839,-0.0808920330993216,0.168924401732489,29,"bottom_10",1.04499926735056,0.92229326321443,1.18403062487654,"Black"
0.0521332115874225,-0.0771639727734443,0.181430395948289,30,"bottom_10",1.05351607371484,0.925738045325848,1.19893108334428,"Black"
0.0609347022292032,-0.0718981189318817,0.193767523390288,31,"bottom_10",1.06282951152346,0.930625704122292,1.21381406677411,"Black"
0.0704206562419259,-0.065121941189078,0.20596325367293,32,"bottom_10",1.07295943341954,0.936953203223324,1.22870805265777,"Black"
0.0805910736255907,-0.0568685506863032,0.218050697937485,33,"bottom_10",1.08392755935983,0.944718243769805,1.24365011651668,"Black"
0.0914459543801975,-0.0471780750386224,0.230069983799017,34,"bottom_10",1.09575755419603,0.953917513566697,1.25868809462183,"Black"
0.102985298505746,-0.0360993939693619,0.242069990980855,35,"bottom_10",1.10847511271572,0.964544418820108,1.27388335004122,"Black"
0.115209106002237,-0.0236923195734041,0.254110531577879,36,"bottom_10",1.12210805257033,0.976586139977446,1.28931430633683,"Black"
0.12811737686967,-0.0100303078281903,0.266265061567531,37,"bottom_10",1.13668641556037,0.990019827943615,1.30508093964465,"Black"
0.141710111108045,0.00479622893821113,0.27862399327788,38,"bottom_10",1.15224257779351,1.00480774925489,1.32131042885044,"Black"
0.155987308717362,0.0206759966345646,0.29129862080016,39,"bottom_10",1.1688113692803,1.02089122585317,1.33816412793362,"Black"
0.170948969697622,0.037472402467069,0.304425536928174,40,"bottom_10",1.18643020358486,1.03818334538741,1.35584589584525,"Black"
0.186595094048823,0.0550190262371624,0.318171161860483,41,"bottom_10",1.20513921820456,1.05656071685903,1.37461152215871,"Black"
0.202925681770966,0.0731157937949066,0.332735569747025,42,"bottom_10",1.2249814264143,1.07585510704795,1.39477842808913,"Black"
0.219940732864051,0.0915272829707667,0.348354182757336,43,"bottom_10",1.24600288137682,1.09584667423747,1.41673394362368,"Black"
0.237640247328078,0.109985252161425,0.365295242494732,44,"bottom_10",1.26825285339249,1.11626160789148,1.44093937188832,"Black"
0.256024225163048,0.12819776515038,0.383850685175715,45,"bottom_10",1.2917840212392,1.13677779549991,1.46792624216862,"Black"
0.275092666368959,0.14586647258143,0.404318860156488,46,"bottom_10",1.31665267863762,1.15704168094672,1.49828161310936,"Black"
0.294845570945813,0.162711088810287,0.426980053081339,47,"bottom_10",1.34291895696789,1.17669667973682,1.53262209033094,"Black"
0.315282938893608,0.178496319700786,0.452069558086431,48,"bottom_10",1.37064706546322,1.19541848376768,1.5715612595698,"Black"
0.336404770212346,0.193053620021482,0.479755920403209,49,"bottom_10",1.39990555021372,1.21294783006418,1.6156799995392,"Black"
0.358211064902025,0.206290884640348,0.510131245163703,50,"bottom_10",1.43076757343065,1.22911068141896,1.66550977070457,"Black"
0,0,0,17,"q_11_to_50",1,1,1,"Black"
0.0100774681656726,0.00301241690524499,0.0171425194261002,18,"q_11_to_50",1.01012841684874,1.00301695879259,1.01729029562335,"Black"
0.0205985596148175,0.00692946539305486,0.0342676538365801,19,"q_11_to_50",1.02081217413996,1.0069535296905,1.03486155432877,"Black"
0.0315632743474347,0.0117485324114527,0.0513780162834167,20,"q_11_to_50",1.03206667687516,1.01181781748515,1.05272076366828,"Black"
0.0429716123635242,0.0174666284814913,0.0684765962455571,21,"q_11_to_50",1.04390826034178,1.01762006205738,1.070875562149,"Black"
0.054823573663086,0.024080319832529,0.085566827493643,22,"q_11_to_50",1.05635422952715,1.02437259202149,1.08933435639646,"Black"
0.0671191582461201,0.0315856459343084,0.102652670557932,23,"q_11_to_50",1.06942290113996,1.03208976610276,1.10810646422856,"Black"
0.0798583661126265,0.0399780188186145,0.119738713406639,24,"q_11_to_50",1.08313364838136,1.04078789619342,1.12720229025214,"Black"
0.0930411972626052,0.0492520996001206,0.13683029492509,25,"q_11_to_50",1.09750694861872,1.05048514424625,1.14663354247683,"Black"
0.106667651696056,0.0594016463426074,0.153933657049505,26,"q_11_to_50",1.11256443412544,1.0612013828094,1.16641350089832,"Black"
